id,Company_name,Year,Quarter,Month_name,Day,Date,Revenue,state,Zip_code,Month
1,COMCAST CORP,2018,Qtr 4,December,31,2018-12-31,94507000000,PA,19103-2838,12
1,COMCAST CORP,2019,Qtr 1,March,31,2019-03-31,26859000000,PA,19103-2838,3
1,COMCAST CORP,2019,Qtr 2,June,30,2019-06-30,26858000000,PA,19103-2838,6
1,COMCAST CORP,2019,Qtr 3,September,30,2019-09-30,26827000000,PA,19103-2838,9
1,COMCAST CORP,2019,Qtr 4,December,31,2019-12-31,28398000000,PA,19103-2838,12
1,COMCAST CORP,2019,Qtr 4,December,31,2019-12-31,108942000000,PA,19103-2838,12
1,COMCAST CORP,2020,Qtr 1,March,31,2020-03-31,26609000000,PA,19103-2838,3
1,COMCAST CORP,2020,Qtr 2,June,30,2020-06-30,23715000000,PA,19103-2838,6
1,COMCAST CORP,2020,Qtr 3,September,30,2020-09-30,25532000000,PA,19103-2838,9
1,COMCAST CORP,2020,Qtr 4,December,31,2020-12-31,27708000000,PA,19103-2838,12
1,COMCAST CORP,2020,Qtr 4,December,31,2020-12-31,103564000000,PA,19103-2838,12
2,GENERAL MOTORS CO,2018,Qtr 4,December,31,2018-12-31,147049000000,MI,48265-3000,12
2,GENERAL MOTORS CO,2019,Qtr 4,December,31,2019-12-31,137237000000,MI,48265-3000,12
2,GENERAL MOTORS CO,2020,Qtr 4,December,31,2020-12-31,122485000000,MI,48265-3000,12
2,GENERAL MOTORS CO,2018,Qtr 4,December,31,2018-12-31,14016000000,TX,76102,12
2,GENERAL MOTORS CO,2019,Qtr 4,December,31,2019-12-31,14554000000,TX,76102,12
2,GENERAL MOTORS CO,2020,Qtr 4,December,31,2020-12-31,13831000000,TX,76102,12
3,KELLOGG CO,2018,Qtr 4,December,31,2018-12-31,13547000000,MI,49016-3599,12
3,KELLOGG CO,2019,Qtr 1,March,31,2019-03-31,3522000000,MI,49016-3599,3
3,KELLOGG CO,2019,Qtr 2,June,30,2019-06-30,3461000000,MI,49016-3599,6
3,KELLOGG CO,2019,Qtr 3,September,30,2019-09-30,3372000000,MI,49016-3599,9
3,KELLOGG CO,2019,Qtr 4,December,31,2019-12-31,3223000000,MI,49016-3599,12
3,KELLOGG CO,2019,Qtr 4,December,31,2019-12-31,13578000000,MI,49016-3599,12
3,KELLOGG CO,2020,Qtr 1,March,31,2020-03-31,3412000000,MI,49016-3599,3
3,KELLOGG CO,2020,Qtr 2,June,30,2020-06-30,3465000000,MI,49016-3599,6
3,KELLOGG CO,2020,Qtr 3,September,30,2020-09-30,3429000000,MI,49016-3599,9
3,KELLOGG CO,2020,Qtr 4,December,31,2020-12-31,3464000000,MI,49016-3599,12
3,KELLOGG CO,2020,Qtr 4,December,31,2020-12-31,13770000000,MI,49016-3599,12
4,NETFLIX INC,2018,Qtr 4,December,31,2018-12-31,15794341000,CA,95032-7606,12
4,NETFLIX INC,2019,Qtr 1,March,31,2019-03-31,4520992000,CA,95032-7606,3
4,NETFLIX INC,2019,Qtr 2,June,30,2019-06-30,4923116000,CA,95032-7606,6
4,NETFLIX INC,2019,Qtr 3,September,30,2019-09-30,5244905000,CA,95032-7606,9
4,NETFLIX INC,2019,Qtr 4,December,31,2019-12-31,5467434000,CA,95032-7606,12
4,NETFLIX INC,2019,Qtr 4,December,31,2019-12-31,20156447000,CA,95032-7606,12
4,NETFLIX INC,2020,Qtr 1,March,31,2020-03-31,5767691000,CA,95032-7606,3
4,NETFLIX INC,2020,Qtr 2,June,30,2020-06-30,6148286000,CA,95032-7606,6
4,NETFLIX INC,2020,Qtr 3,September,30,2020-09-30,6435637000,CA,95032-7606,9
4,NETFLIX INC,2020,Qtr 4,December,31,2020-12-31,6644442000,CA,95032-7606,12
4,NETFLIX INC,2020,Qtr 4,December,31,2020-12-31,24996056000,CA,95032-7606,12
