quotesymbol,company_name,date,open,high,low,close,adj _close,volume,id
WEN,WENDY'S CO,5/23/2002,27.8,27.9,27.52,27.85,5.98,25600,10
WEN,WENDY'S CO,5/24/2002,27.8,27.88,27.65,27.7,5.9478,47400,10
WEN,WENDY'S CO,5/28/2002,27.65,27.65,27.13,27.43,5.8898,36200,10
WEN,WENDY'S CO,5/29/2002,27.44,27.54,27.11,27.4,5.8833,35300,10
WEN,WENDY'S CO,5/30/2002,27.4,27.86,27.37,27.65,5.937,31300,10
WEN,WENDY'S CO,5/31/2002,27.61,27.64,27.4,27.46,5.8962,40500,10
WEN,WENDY'S CO,6/3/2002,27.46,27.5,27.15,27.15,5.8297,29500,10
WEN,WENDY'S CO,6/4/2002,27.16,27.3,27,27.17,5.834,27300,10
WEN,WENDY'S CO,6/5/2002,27.15,27.35,27.02,27.08,5.8146,24800,10
WEN,WENDY'S CO,6/6/2002,27.12,27.23,27,27,5.7975,31000,10
WEN,WENDY'S CO,6/7/2002,27.01,27.75,27,27.75,5.9585,69400,10
WEN,WENDY'S CO,6/10/2002,27.75,27.8,27.65,27.73,5.9542,39200,10
WEN,WENDY'S CO,6/11/2002,27.7,27.75,27.45,27.5,5.9048,22400,10
WEN,WENDY'S CO,6/12/2002,27.45,27.75,27.3,27.31,5.864,35000,10
WEN,WENDY'S CO,6/13/2002,27.3,27.31,27,27.01,5.7996,27300,10
WEN,WENDY'S CO,6/14/2002,27.01,27.08,26.77,27.05,5.8082,64200,10
WEN,WENDY'S CO,6/17/2002,27.1,27.55,26.85,27.22,5.8447,38100,10
WEN,WENDY'S CO,6/18/2002,27.28,27.45,27.11,27.13,5.8254,14600,10
WEN,WENDY'S CO,6/19/2002,27.1,27.35,26.75,27.2,5.8404,27000,10
WEN,WENDY'S CO,6/20/2002,27.2,27.73,27.15,27.2,5.8404,35100,10
WEN,WENDY'S CO,6/21/2002,27.35,27.52,27.35,27.5,5.9048,54400,10
WEN,WENDY'S CO,6/24/2002,27.5,27.51,27.12,27.37,5.8769,31100,10
WEN,WENDY'S CO,6/25/2002,27.3,27.65,26.8,26.83,5.761,38200,10
WEN,WENDY'S CO,6/26/2002,26.75,27.05,26.5,26.99,5.7953,43200,10
WEN,WENDY'S CO,6/27/2002,26.95,27.15,26.74,26.95,5.7867,39300,10
WEN,WENDY'S CO,6/28/2002,26.85,27.6,26.75,27.6,5.9263,111400,10
WEN,WENDY'S CO,7/1/2002,27.55,27.55,26.5,26.58,5.7073,62000,10
WEN,WENDY'S CO,7/2/2002,26.43,26.5,25.75,25.76,5.5312,85000,10
WEN,WENDY'S CO,7/3/2002,25.76,25.9,24.97,25.29,5.4303,44300,10
WEN,WENDY'S CO,7/5/2002,25.3,25.85,25.3,25.81,5.5419,8200,10
WEN,WENDY'S CO,7/8/2002,25.78,26.05,25.46,25.7,5.5183,24800,10
WEN,WENDY'S CO,7/9/2002,25.7,26.08,25.6,25.61,5.499,45100,10
WEN,WENDY'S CO,7/10/2002,25.61,25.75,25.3,25.41,5.4561,35600,10
WEN,WENDY'S CO,7/11/2002,25.35,25.35,24.85,25,5.368,27500,10
WEN,WENDY'S CO,7/12/2002,25,25.3,25,25.12,5.3938,151100,10
WEN,WENDY'S CO,7/15/2002,25.07,25.07,23.8,24.45,5.2499,249100,10
WEN,WENDY'S CO,7/16/2002,24.48,24.95,24.11,24.3,5.2177,38900,10
WEN,WENDY'S CO,7/17/2002,24.3,24.71,24.25,24.4,5.2392,35500,10
WEN,WENDY'S CO,7/18/2002,24.35,24.56,23.86,23.95,5.1426,45200,10
WEN,WENDY'S CO,7/19/2002,23.9,23.9,23.45,23.71,5.091,64600,10
WEN,WENDY'S CO,7/22/2002,23.74,23.87,23.12,23.15,4.9708,83300,10
WEN,WENDY'S CO,7/23/2002,23.2,23.21,22.65,22.65,4.8634,37100,10
WEN,WENDY'S CO,7/24/2002,22.7,24.7,22.6,24.7,5.3036,72300,10
WEN,WENDY'S CO,7/25/2002,24.4,24.5,23.29,24.09,5.1726,85100,10
WEN,WENDY'S CO,7/26/2002,24.09,25,24.09,25,5.368,50300,10
WEN,WENDY'S CO,7/29/2002,25,25.99,25,25.99,5.5806,102400,10
WEN,WENDY'S CO,7/30/2002,26,26,24.69,24.91,5.3487,48200,10
WEN,WENDY'S CO,7/31/2002,24.85,25,24.75,24.82,5.3294,35100,10
WEN,WENDY'S CO,8/1/2002,24.88,24.9,24.4,24.7,5.3036,19700,10
WEN,WENDY'S CO,8/2/2002,24.7,24.71,23.52,23.59,5.0653,39900,10
WEN,WENDY'S CO,8/5/2002,23.55,23.8,23.41,23.6,5.0674,50100,10
