,hashtags,date,Tweet,likes,Retweet
0,#BoycottHomeDepot,2021-06-06 00:55:03,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",0,2
1,#BoycottHomeDepot,2021-06-05 22:38:17,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",0,2
2,#BoycottHomeDepot,2021-06-05 22:37:53,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",15,2
3,#BoycottHomeDepot,2021-06-05 22:02:34,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",0,9
4,#BoycottHomeDepot,2021-06-05 21:21:07,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",0,9
5,#BoycottHomeDepot,2021-06-05 21:02:45,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",0,9
6,#BoycottHomeDepot,2021-06-05 20:24:30,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",0,9
7,#BoycottHomeDepot,2021-06-05 20:24:08,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",44,9
8,#BoycottHomeDepot,2021-06-04 23:10:54,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",0,0
9,#BoycottHomeDepot,2021-06-04 23:02:37,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",0,0
10,#BoycottHomeDepot,2021-06-04 23:00:28,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",0,0
11,#BoycottHomeDepot,2021-06-04 22:50:48,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",0,0
12,#BoycottHomeDepot,2021-06-03 14:48:01,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",0,0
13,#BoycottHomeDepot,2021-06-02 13:09:10,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",0,1
14,#BoycottHomeDepot,2021-06-02 00:57:10,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",1,0
15,#BoycottHomeDepot,2021-06-02 00:54:50,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",1,0
16,#BoycottHomeDepot,2021-06-01 15:12:14,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",1,0
17,#BoycottHomeDepot,2021-06-01 04:16:10,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",0,0
18,#Goyaway,2021-05-31 22:33:29,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",0,2
19,#BoycottGoya,2021-06-05 23:47:49,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",0,0
20,#BoycottGoya,2021-06-05 16:19:23,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",1,0
21,#BoycottGoya,2021-06-05 13:11:23,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",1,0
22,#BoycottGoya,2021-06-05 07:34:17,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",0,0
23,#BoycottGoya,2021-06-04 22:45:03,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",0,0
24,#BoycottGoya,2021-06-04 17:55:42,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",2,0
25,#BoycottGoya,2021-06-04 17:47:19,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",0,0
26,#BoycottGoya,2021-06-04 16:23:29,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",0,0
27,#BoycottGoya,2021-06-04 16:22:23,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",0,0
28,#BoycottGoya,2021-06-04 16:17:15,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",0,0
29,#BoycottGoya,2021-06-01 21:51:44,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",0,2
30,#BoycottGoya,2021-06-01 20:02:34,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",0,2
31,#BoycottGoya,2021-06-01 15:59:53,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",30,2
32,#BoycottGoya,2021-05-31 22:33:29,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",0,2
33,#BoycottGoya,2021-05-31 04:40:21,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",0,2
34,#CancelNetflix,2021-06-06 15:36:39,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",0,1
35,#CancelNetflix,2021-06-06 09:14:46,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",2,1
36,#CancelNetflix,2021-06-06 09:03:27,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",0,0
37,#CancelNetflix,2021-06-05 23:54:32,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",1,0
38,#CancelNetflix,2021-06-05 21:58:25,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",0,0
39,#CancelNetflix,2021-06-05 21:50:44,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",0,68
40,#CancelNetflix,2021-06-05 17:10:41,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",0,0
41,#CancelNetflix,2021-06-05 07:00:30,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",0,1
42,#CancelNetflix,2021-06-05 06:50:14,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",2,1
43,#CancelNetflix,2021-06-05 05:54:30,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",0,0
44,#CancelNetflix,2021-06-05 04:24:33,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",0,40747
45,#CancelNetflix,2021-06-05 00:43:01,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",0,68
46,#CancelNetflix,2021-06-04 23:00:57,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",1,0
47,#CancelNetflix,2021-06-04 16:52:33,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",0,1
48,#CancelNetflix,2021-06-04 14:46:59,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",0,0
49,#CancelNetflix,2021-06-04 13:15:12,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",2,0
50,#CancelNetflix,2021-06-04 11:37:39,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",0,0
51,#CancelNetflix,2021-06-04 10:27:41,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",0,0
52,#CancelNetflix,2021-06-04 10:10:17,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",1,0
53,#CancelNetflix,2021-06-04 08:42:22,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",0,1
54,#CancelNetflix,2021-06-04 07:11:27,"@NetflixDE The OA Part III, bitte 🤩♥️

#SaveTheOA @reedhastings #cancelnetflix https://t.co/XWHchoQKdy",1,1
