,date,adj _close,volume,VolStat,id,negative,neutral,positive,vix_adj_close,close_previous
0,2016-03-30,102.19,14705000,0.0327759197324414,4,80,195,197,13.56,90.03
1,2016-04-29,90.03,13968000,0.025966850828729376,4,191,149,129,15.7,91.06
2,2016-06-29,91.06,11687100,0.03646704583472729,4,128,195,159,16.64,97.45
3,2016-08-30,97.45,6093500,0.01747751430907598,4,87,187,177,13.12,96.67
4,2016-09-29,96.67,6217600,0.017572705785633625,4,81,225,169,14.02,117.51
5,2016-11-29,117.51,7082300,0.017476555839727292,4,76,142,242,12.9,123.8
6,2016-12-30,123.8,4455400,0.023526615969581742,4,82,177,212,14.04,141.22
7,2017-01-30,141.22,8122500,0.02236016082386956,4,96,176,211,11.88,143.41
8,2017-02-27,143.41,3907400,0.010760201229737228,4,78,190,199,12.09,148.06
9,2017-03-30,148.06,4461100,0.01198828417682713,4,91,179,200,11.54,163.22
10,2017-05-30,163.22,4828600,0.012469437652811688,4,92,197,169,10.38,150.09
11,2017-06-29,150.09,7142500,0.031540374296557996,4,75,117,279,11.44,174.69
12,2017-08-30,174.69,8034700,0.0323303834808259,4,168,141,167,11.22,181.35
13,2017-09-29,181.35,4227900,0.012449510319260776,4,88,176,207,9.51,198.37
14,2017-10-30,198.37,5439600,0.020188357879971953,4,180,155,95,10.5,278.8
15,2018-01-30,278.8,12482900,0.036209386281588554,4,287,87,114,14.79,290.61
16,2018-02-27,290.61,9416500,0.022967059062998403,4,135,130,220,18.59,353.54
17,2018-05-30,353.54,5685500,0.01345176944688824,4,72,210,192,14.94,391.43
18,2018-06-29,391.43,9252500,0.027004684486084254,4,70,110,227,16.09,334.96
19,2018-07-30,334.96,18260700,0.05117494956383369,4,125,139,200,14.26,370.98
20,2018-08-30,370.98,10981000,0.036356164383561596,4,88,124,262,13.53,285.81
21,2018-10-30,285.81,23685700,0.07007293972493378,4,167,201,116,23.35,288.75
22,2018-11-29,288.75,15431500,0.05309577784074812,4,90,118,234,18.79,340.66
23,2019-01-30,340.66,9234500,0.03299774605559718,4,98,89,301,17.66,362.87
24,2019-02-27,362.87,5629900,0.022640990371389166,4,98,210,175,14.7,371.83
25,2019-04-29,371.83,3821700,0.01461143224148999,4,111,162,181,13.11,351.85
26,2019-05-30,351.85,4008000,0.016859221223791094,4,164,179,147,17.3,325.93
27,2019-07-30,325.93,6029300,0.01950182260024289,4,78,151,238,13.94,293.75
28,2019-08-30,293.75,4446400,0.02707677890086343,4,87,152,218,18.98,291.45
29,2019-10-30,291.45,9345600,0.03689245269747489,4,75,87,308,12.33,314.66
30,2019-11-29,314.66,2411700,0.010386978276015042,4,79,89,275,12.62,323.31
31,2019-12-30,323.31,4311500,0.019235444268870742,4,112,107,244,14.82,347.74
32,2020-01-30,347.74,5328100,0.02623863969510404,4,78,143,225,15.49,371.71
33,2020-02-27,371.71,10967700,0.056425994723523346,4,108,118,209,39.16,370.96
34,2020-03-30,370.96,8622000,0.04581267217630853,4,122,152,200,57.08,411.89
35,2020-04-29,411.89,9693100,0.055715465672164774,4,91,160,216,31.23,447.24
36,2020-06-29,447.24,4844000,0.03488084810098158,4,97,164,178,31.78,485.8
37,2020-07-30,485.8,6608600,0.022549978157309046,4,59,176,229,24.76,493.48
38,2020-09-29,493.48,3541500,0.019938712972420936,4,48,170,245,26.27,475.74
39,2020-10-30,475.74,7807900,0.06707037708412186,4,97,76,158,38.02,524.59
40,2020-12-30,524.59,1876300,0.018052175881387463,4,110,125,187,22.77,513.39
41,2021-03-30,513.39,2418100,0.014691191161779285,4,140,138,147,19.61,509.0
42,2021-04-29,509.0,5127800,0.020271867612293184,4,65,207,180,17.61,
