,date,adj _close,volume,VolStat,id,negative,neutral,positive,vix_adj_close,close_previous
0,2016-03-30,51.7044,340000,0.03643438273788473,5,66,156,219,13.56,52.7293
1,2016-04-29,52.7293,284400,0.020603907637655357,5,35,148,210,15.7,62.9197
2,2016-06-29,62.9197,238500,0.016282225237449093,5,37,177,208,16.64,70.0066
3,2016-08-30,70.0066,281200,0.01183038681377111,5,40,213,145,13.12,74.2508
4,2016-09-29,74.2508,416700,0.027281746031746067,5,20,184,209,14.02,81.8986
5,2016-11-29,81.8986,342400,0.01410712237641936,5,44,123,233,12.9,80.3863
6,2016-12-30,80.3863,344800,0.02714725675829811,5,30,169,240,14.04,79.5691
7,2017-01-30,79.5691,208000,0.01560452650387138,5,50,133,248,11.88,73.9616
8,2017-02-27,73.9616,419500,0.00943155748151918,5,26,187,217,12.09,74.9785
9,2017-03-30,74.9785,277000,0.0089420654911838,5,32,338,90,11.54,75.206
10,2017-05-30,75.206,434600,0.01835210732818634,5,27,217,183,10.38,68.4378
11,2017-06-29,68.4378,463300,0.028903295515937337,5,24,203,69,11.44,71.0877
12,2017-08-30,71.0877,1054000,0.02083333333333331,5,25,199,192,11.22,69.1754
13,2017-09-29,69.1754,407800,0.012513601741022874,5,76,251,125,9.51,63.4668
14,2017-10-30,63.4668,708100,0.030089534713048545,5,28,146,228,10.5,60.8114
15,2018-01-30,60.8114,754700,0.014836795252225563,5,48,200,198,14.79,53.7668
16,2018-02-27,53.7668,1654300,0.05563258232235703,5,124,196,151,18.59,49.4603
17,2018-05-29,49.4603,881600,0.020650095602294423,5,5,16,11,17.02,49.9679
18,2018-05-30,49.9679,540400,0.02157580427663272,5,72,222,123,14.94,49.5752
19,2018-06-28,49.5752,586100,0.03019015879239363,5,7,71,21,16.85,48.5791
20,2018-06-29,48.5791,679600,0.0256360832690826,5,55,227,96,16.09,40.2847
21,2018-07-30,40.2847,2225900,0.05041821561338278,5,101,191,116,14.26,44.4144
22,2018-08-30,44.4144,1046700,0.021376656690893545,5,107,200,159,13.53,47.0627
23,2018-10-29,47.0627,941800,0.07162214479287655,5,6,65,34,24.7,51.6756
24,2018-10-30,51.6756,3082400,0.11126990608411604,5,43,151,106,23.35,46.294
25,2018-11-28,46.294,2713800,0.08236453201970442,5,25,105,69,18.49,46.6034
26,2018-11-29,46.6034,1268200,0.03366088229144887,5,42,150,73,18.79,40.9278
27,2019-01-29,40.9278,498300,0.03192488262910797,5,1,11,4,19.13,40.7441
28,2019-01-30,40.7441,714200,0.02564705882352949,5,64,206,147,17.66,40.6149
29,2019-02-26,40.6149,1513800,0.019083969465648956,5,16,65,60,15.17,41.5576
30,2019-02-27,41.5576,2893200,0.07294117647058827,5,40,193,93,14.7,51.4611
31,2019-03-29,51.4611,1136800,0.02688688304205874,5,2,3,2,13.71,50.4114
32,2019-04-29,50.4114,541100,0.02104442712392826,5,41,103,105,13.11,46.5458
33,2019-05-30,46.5458,1060900,0.0497320471596999,5,32,284,137,17.3,43.2078
34,2019-07-30,43.2078,714100,0.03348115299334823,5,36,148,281,13.94,49.5197
35,2019-08-29,49.5197,1053900,0.032568177359230996,5,29,70,72,17.88,48.8037
36,2019-08-30,48.8037,850700,0.032385466034755145,5,29,111,127,18.98,58.2781
37,2019-10-29,58.2781,1068900,0.029679190255618406,5,18,39,35,13.2,57.8858
38,2019-10-30,57.8858,1289900,0.021572957363682622,5,56,146,178,12.33,62.2931
39,2019-11-29,62.2931,468600,0.025421035907213244,5,45,98,105,12.62,62.7263
40,2019-12-30,62.7263,427100,0.019814241486068022,5,41,102,136,14.82,65.0199
41,2020-01-28,65.0199,405800,0.023259372609028252,5,3,14,10,16.28,64.9806
42,2020-01-29,64.9806,488400,0.012863196125907904,5,17,117,69,16.39,64.4194
43,2020-01-30,64.4194,451000,0.016288628406150214,5,23,130,80,15.49,60.7586
44,2020-02-26,60.7586,2958000,0.11463710901913145,5,22,69,42,27.56,57.4693
45,2020-02-27,57.4693,1643600,0.08309647216184582,5,41,179,103,39.16,48.9842
46,2020-03-30,48.9842,645000,0.04430253442426659,5,74,221,104,57.08,70.9921
47,2020-04-28,70.9921,811600,0.05179994503984606,5,12,89,62,33.57,71.3576
48,2020-04-29,71.3576,764000,0.034436008676789476,5,41,156,89,31.23,77.1534
49,2020-05-29,77.1534,878300,0.03265940902021786,5,36,112,87,27.51,77.6387
50,2020-06-29,77.6387,646100,0.034920236151237294,5,42,123,105,31.78,92.5266
51,2020-07-29,92.5266,442400,0.027786787760838937,5,3,20,11,24.1,92.3681
52,2020-07-30,92.3681,384400,0.02595025304188647,5,49,248,123,24.76,82.821
53,2020-09-28,82.821,432800,0.027571966476375515,5,17,77,46,26.19,85.1541
54,2020-09-29,85.1541,639300,0.032273374466065485,5,25,166,105,26.27,75.8713
55,2020-10-29,75.8713,655000,0.04718988609337835,5,11,18,17,37.59,76.05
56,2020-10-30,76.05,792200,0.05449171057704658,5,80,155,154,38.02,84.1398
57,2020-12-30,84.1398,234700,0.02188336631358393,5,38,134,297,22.77,89.9857
58,2021-02-26,89.9857,839500,0.05888888888888886,5,9,66,34,27.95,86.4138
59,2021-03-29,86.4138,441900,0.039469207213337756,5,13,42,33,20.74,86.5136
60,2021-03-30,86.5136,351500,0.024317504014682318,5,35,214,93,19.61,95.7826
61,2021-04-28,95.7826,363600,0.02015584415584428,5,27,104,56,17.28,97.4787
62,2021-04-29,97.4787,307100,0.026556016597510397,5,43,148,63,17.61,
