,date,adj _close,volume,VolStat,id,negative,neutral,positive,vix_adj_close,close_previous
0,2016-03-30,87.9165,4673600,0.014587029371180801,6,72,158,234,13.56,88.1477
1,2016-04-29,88.1477,4604000,0.007480812202467657,6,109,138,226,15.7,88.9467
2,2016-06-29,88.9467,4898700,0.008461388834857076,6,66,224,194,16.64,92.4745
3,2016-08-30,92.4745,3708100,0.009544106745737593,6,79,168,197,13.12,93.6064
4,2016-09-29,93.6064,7249100,0.0182648401826484,6,66,175,235,14.02,89.072
5,2016-11-29,89.072,3886800,0.007296429613775659,6,42,107,142,12.9,91.5599
6,2016-12-30,91.5599,3484000,0.007831152707477867,6,80,158,180,14.04,90.7373
7,2017-01-30,90.7373,3462600,0.006989612658965138,6,57,332,90,11.88,95.6202
8,2017-02-27,95.6202,3475100,0.005925790865165388,6,74,119,207,12.09,98.84100000000001
9,2017-03-30,98.84100000000001,2104900,0.004898031881734768,6,98,151,153,11.54,103.9778
10,2017-05-30,103.9778,3231600,0.005265839986410775,6,150,174,144,10.38,102.1813
11,2017-06-29,102.1813,3474400,0.011286292754372382,6,109,164,196,11.44,102.8695
12,2017-08-30,102.8695,2491800,0.004429775036914837,6,91,141,210,11.22,99.5463
13,2017-09-29,99.5463,5122300,0.007329936533476422,6,76,153,261,9.51,97.9561
14,2017-10-30,97.9561,2206100,0.009151866618340025,6,114,147,198,10.5,107.8471
15,2018-01-30,107.8471,4945200,0.014204545454545477,6,83,142,230,14.79,99.7511
16,2018-02-27,99.7511,6385800,0.01232125191114313,6,112,143,216,18.59,92.2782
17,2018-05-30,92.2782,6256600,0.011312217194570052,6,89,131,250,14.94,99.5652
18,2018-06-29,99.5652,4721400,0.01563649742457692,6,76,97,267,16.09,104.4213
19,2018-07-30,104.4213,3621800,0.008085779574617698,6,22,81,56,14.26,102.3911
20,2018-08-30,102.3911,2119100,0.00607848395459021,6,98,140,218,13.53,104.90700000000001
21,2018-10-30,104.90700000000001,4900400,0.014329670329670415,6,50,94,274,23.35,109.0564
22,2018-11-29,109.0564,2878700,0.01207770270270276,6,77,177,191,18.79,102.9982
23,2019-01-30,102.9982,5023800,0.024784284927482914,6,21,32,406,17.66,107.2271
24,2019-02-27,107.2271,4175100,0.011164964514453922,6,88,178,208,14.7,118.7029
25,2019-04-29,118.7029,2793400,0.007452037418741063,6,384,59,51,13.11,120.5019
26,2019-05-30,120.5019,2710300,0.00881779165040964,6,59,126,308,17.3,123.1491
27,2019-07-30,123.1491,3367900,0.014085579412212751,6,91,167,217,13.94,129.0479
28,2019-08-30,129.0479,3742800,0.009918448313863952,6,68,104,283,18.98,130.1013
29,2019-10-30,130.1013,2653700,0.013837774179302188,6,140,108,230,12.33,129.0844
30,2019-11-29,129.0844,2978400,0.008525650448331593,6,72,155,235,12.62,130.9264
31,2019-12-30,130.9264,3024700,0.01089978054133145,6,64,104,308,14.82,137.6445
32,2020-01-30,137.6445,4058500,0.01714446318156266,6,53,117,241,15.49,130.5053
33,2020-02-27,130.5053,8605000,0.04829927162152595,6,142,140,165,39.16,120.8945
34,2020-03-30,120.8945,6916800,0.03560562453745579,6,91,176,204,57.08,128.4865
35,2020-04-29,128.4865,6706800,0.029831103312129733,6,78,181,209,31.23,127.2701
36,2020-06-29,127.2701,4173900,0.015132892917498838,6,68,119,279,31.78,133.688
37,2020-07-30,133.688,2817600,0.012678519382104408,6,77,174,218,24.76,134.131
38,2020-09-29,134.131,4330500,0.01738064330015864,6,62,219,185,26.27,130.3465
39,2020-10-30,130.3465,4303900,0.016023470999774282,6,116,122,204,38.02,145.0831
40,2020-12-30,145.0831,2224900,0.006645419407337209,6,118,144,208,22.77,141.5062
41,2021-03-30,141.5062,4372700,0.018304565701558986,6,92,148,223,19.61,142.89600000000002
42,2021-04-29,142.89600000000002,4699900,0.0173117522871218,6,45,93,313,17.61,
