,date,adj _close,volume,VolStat,id,negative,neutral,positive,vix_adj_close,close_previous
0,2019-05-30,39.8,26451900,0.02196156725729979,8,140,159,179,17.3,42.59
1,2019-07-30,42.59,7686300,0.028597574925646303,8,152,90,245,13.94,32.57
2,2019-08-30,32.57,6628700,0.03303030303030313,8,94,93,159,18.98,33.75
3,2019-10-30,33.75,10732700,0.05198400492156253,8,152,105,186,12.33,29.6
4,2019-11-29,29.6,8115100,0.020401224073444454,8,88,234,131,12.62,29.74
5,2019-12-30,29.74,18805900,0.028211085297046065,8,65,241,117,14.82,36.68
6,2020-01-30,36.68,22847000,0.03210211841390535,8,109,157,180,15.49,32.45
7,2020-02-27,32.45,66557200,0.10896034967218217,8,129,185,145,39.16,27.83
8,2020-03-30,27.83,37725700,0.11697683251044444,8,334,40,87,57.08,31.37
9,2020-04-29,31.37,28288100,0.05387096774193554,8,99,104,253,31.23,29.63
10,2020-06-29,29.63,20795400,0.04608607251779056,8,121,141,177,31.78,30.24
11,2020-07-30,30.24,13062900,0.023164763458401336,8,120,123,196,24.76,35.43
12,2020-09-29,35.43,16488700,0.02966816647919009,8,151,140,171,26.27,33.41
13,2020-10-30,33.41,13506200,0.036419935122382764,8,111,188,152,38.02,53.15
14,2020-12-30,53.15,9518600,0.030918057663125997,8,132,146,150,22.77,53.46
15,2021-03-30,53.46,9497200,0.02792979807510845,8,207,88,155,19.61,54.93
16,2021-04-29,54.93,43408000,0.1035593220338983,8,108,102,169,17.61,
