,date,negative,neutral,positive,id
0,2016-01-28,1.0,442.0,4.0,2
1,2016-01-29,1.0,9.0,6.0,2
2,2016-01-30,1.0,24.0,4.0,2
3,2016-02-18,4.0,23.0,4.0,2
4,2016-02-19,1.0,11.0,7.0,2
5,2016-02-20,2.0,8.0,4.0,2
6,2016-02-21,2.0,9.0,3.0,2
7,2016-02-22,7.0,6.0,5.0,2
8,2016-02-23,2.0,9.0,3.0,2
9,2016-02-24,3.0,14.0,11.0,2
10,2016-02-25,7.0,18.0,8.0,2
11,2016-02-26,5.0,18.0,13.0,2
12,2016-02-27,,11.0,8.0,2
13,2016-03-22,1.0,7.0,3.0,2
14,2016-03-23,11.0,8.0,5.0,2
15,2016-03-24,6.0,7.0,4.0,2
16,2016-03-25,2.0,7.0,6.0,2
17,2016-03-26,1.0,9.0,4.0,2
18,2016-03-27,1.0,12.0,4.0,2
19,2016-03-28,1.0,7.0,5.0,2
20,2016-03-29,7.0,10.0,35.0,2
21,2016-03-30,18.0,13.0,29.0,2
22,2016-04-21,3.0,10.0,6.0,2
23,2016-04-22,4.0,20.0,4.0,2
24,2016-04-23,4.0,8.0,12.0,2
25,2016-04-24,2.0,7.0,2.0,2
26,2016-04-25,4.0,14.0,8.0,2
27,2016-04-26,1.0,8.0,10.0,2
28,2016-04-27,1.0,10.0,12.0,2
29,2016-04-28,1.0,18.0,7.0,2
30,2016-04-29,,17.0,9.0,2
31,2016-05-19,6.0,8.0,10.0,2
32,2016-05-20,4.0,10.0,16.0,2
33,2016-05-21,3.0,5.0,6.0,2
34,2016-05-22,2.0,2.0,1.0,2
35,2016-05-23,3.0,5.0,5.0,2
36,2016-05-24,5.0,12.0,7.0,2
37,2016-05-25,7.0,23.0,2.0,2
38,2016-05-26,4.0,8.0,9.0,2
39,2016-05-27,2.0,4.0,5.0,2
40,2016-05-28,1.0,7.0,2.0,2
41,2016-05-29,,3.0,8.0,2
42,2016-05-30,2.0,2.0,4.0,2
43,2016-06-15,,1.0,3.0,2
44,2016-06-16,3.0,14.0,7.0,2
45,2016-06-17,31.0,27.0,2.0,2
46,2016-06-18,2.0,5.0,4.0,2
47,2016-06-19,,2.0,,2
48,2016-06-20,2.0,13.0,4.0,2
49,2016-06-21,6.0,10.0,6.0,2
50,2016-06-22,3.0,15.0,8.0,2
51,2016-06-23,2.0,18.0,10.0,2
52,2016-06-24,,32.0,10.0,2
53,2016-06-25,2.0,4.0,3.0,2
54,2016-06-26,3.0,6.0,4.0,2
55,2016-06-27,1.0,11.0,4.0,2
