,date,negative,neutral,positive,id
0,2016-01-19,2.0,25.0,6.0,3
1,2016-01-20,4.0,8.0,13.0,3
2,2016-01-21,1.0,7.0,7.0,3
3,2016-01-22,3.0,12.0,6.0,3
4,2016-01-23,1.0,6.0,8.0,3
5,2016-01-24,1.0,11.0,12.0,3
6,2016-01-25,24.0,9.0,9.0,3
7,2016-01-26,14.0,12.0,22.0,3
8,2016-01-27,74.0,15.0,10.0,3
9,2016-01-28,30.0,6.0,12.0,3
10,2016-01-29,30.0,5.0,9.0,3
11,2016-01-30,16.0,17.0,8.0,3
12,2016-02-12,4.0,8.0,8.0,3
13,2016-02-13,,8.0,8.0,3
14,2016-02-14,1.0,11.0,10.0,3
15,2016-02-15,3.0,13.0,6.0,3
16,2016-02-16,4.0,10.0,8.0,3
17,2016-02-17,8.0,27.0,8.0,3
18,2016-02-18,7.0,15.0,6.0,3
19,2016-02-19,2.0,16.0,8.0,3
20,2016-02-20,2.0,11.0,7.0,3
21,2016-02-21,6.0,18.0,6.0,3
22,2016-02-22,2.0,14.0,15.0,3
23,2016-02-23,5.0,22.0,16.0,3
24,2016-02-24,5.0,10.0,12.0,3
25,2016-02-25,7.0,9.0,12.0,3
26,2016-02-26,11.0,15.0,7.0,3
27,2016-02-27,4.0,8.0,8.0,3
28,2016-03-15,,4.0,,3
29,2016-03-16,4.0,20.0,13.0,3
30,2016-03-17,7.0,16.0,26.0,3
31,2016-03-18,6.0,8.0,11.0,3
32,2016-03-19,6.0,9.0,12.0,3
33,2016-03-20,4.0,6.0,11.0,3
34,2016-03-21,7.0,14.0,17.0,3
35,2016-03-22,4.0,27.0,20.0,3
36,2016-03-23,3.0,14.0,11.0,3
37,2016-03-24,11.0,7.0,7.0,3
38,2016-03-25,2.0,7.0,9.0,3
39,2016-03-26,4.0,7.0,12.0,3
40,2016-03-27,4.0,14.0,15.0,3
41,2016-03-28,6.0,11.0,5.0,3
42,2016-03-29,3.0,11.0,20.0,3
43,2016-03-30,8.0,11.0,10.0,3
44,2016-04-13,5.0,8.0,3.0,3
45,2016-04-14,3.0,8.0,11.0,3
46,2016-04-15,2.0,11.0,10.0,3
47,2016-04-16,1.0,6.0,10.0,3
48,2016-04-17,,4.0,3.0,3
49,2016-04-18,5.0,10.0,10.0,3
50,2016-04-19,3.0,14.0,7.0,3
51,2016-04-20,5.0,5.0,16.0,3
52,2016-04-21,10.0,8.0,8.0,3
53,2016-04-22,3.0,6.0,7.0,3
54,2016-04-23,3.0,5.0,10.0,3
55,2016-04-24,2.0,11.0,12.0,3
56,2016-04-25,6.0,11.0,36.0,3
57,2016-04-26,7.0,9.0,13.0,3
58,2016-04-27,2.0,11.0,20.0,3
59,2016-04-28,14.0,12.0,38.0,3
60,2016-04-29,4.0,21.0,10.0,3
61,2016-05-11,5.0,8.0,27.0,3
62,2016-05-12,1.0,7.0,13.0,3
63,2016-05-13,1.0,10.0,12.0,3
64,2016-05-14,3.0,9.0,12.0,3
65,2016-05-15,,6.0,9.0,3
66,2016-05-16,1.0,13.0,8.0,3
67,2016-05-17,2.0,14.0,20.0,3
68,2016-05-18,3.0,5.0,7.0,3
69,2016-05-19,9.0,4.0,8.0,3
70,2016-05-20,2.0,17.0,11.0,3
71,2016-05-21,,4.0,12.0,3
72,2016-05-22,,9.0,28.0,3
73,2016-05-23,3.0,10.0,7.0,3
74,2016-05-24,3.0,9.0,15.0,3
75,2016-05-25,5.0,8.0,3.0,3
76,2016-05-26,1.0,9.0,1.0,3
77,2016-05-27,1.0,24.0,5.0,3
78,2016-05-28,1.0,4.0,13.0,3
79,2016-05-29,,2.0,13.0,3
80,2016-05-30,7.0,8.0,13.0,3
81,2016-06-13,4.0,10.0,7.0,3
82,2016-06-14,8.0,26.0,10.0,3
83,2016-06-15,4.0,19.0,13.0,3
84,2016-06-16,4.0,17.0,13.0,3
85,2016-06-17,1.0,5.0,14.0,3
86,2016-06-18,1.0,10.0,13.0,3
87,2016-06-19,,6.0,10.0,3
88,2016-06-20,3.0,40.0,14.0,3
89,2016-06-21,1.0,14.0,9.0,3
90,2016-06-22,1.0,15.0,6.0,3
91,2016-06-23,4.0,10.0,15.0,3
