,date,negative,neutral,positive,id
0,2016-01-30,83,216,156,4
1,2016-02-27,85,196,197,4
2,2016-03-30,80,195,197,4
3,2016-04-29,191,149,129,4
4,2016-05-30,85,153,226,4
5,2016-06-29,128,195,159,4
6,2016-07-30,52,185,152,4
7,2016-08-30,87,187,177,4
8,2016-09-29,81,225,169,4
9,2016-10-30,89,173,200,4
10,2016-11-29,76,142,242,4
11,2016-12-30,82,177,212,4
12,2017-01-30,96,176,211,4
13,2017-02-27,78,190,199,4
14,2017-03-30,91,179,200,4
15,2017-04-29,122,170,191,4
16,2017-05-30,92,197,169,4
17,2017-06-29,75,117,279,4
18,2017-07-30,67,221,168,4
19,2017-08-30,168,141,167,4
20,2017-09-29,88,176,207,4
21,2017-10-30,180,155,95,4
22,2018-01-30,287,87,114,4
23,2018-02-27,135,130,220,4
24,2018-03-30,109,164,186,4
25,2018-04-29,122,121,232,4
26,2018-05-30,72,210,192,4
27,2018-06-29,70,110,227,4
28,2018-07-30,125,139,200,4
29,2018-08-30,88,124,262,4
30,2018-09-29,80,157,237,4
31,2018-10-30,167,201,116,4
32,2018-11-29,90,118,234,4
33,2018-12-30,62,149,264,4
34,2019-01-30,98,89,301,4
35,2019-02-27,98,210,175,4
36,2019-03-30,102,170,204,4
37,2019-04-29,111,162,181,4
38,2019-05-30,164,179,147,4
39,2019-06-29,80,158,202,4
40,2019-07-30,78,151,238,4
41,2019-08-30,87,152,218,4
42,2019-09-29,123,122,225,4
43,2019-10-30,75,87,308,4
44,2019-11-29,79,89,275,4
45,2019-12-30,112,107,244,4
46,2020-01-30,78,143,225,4
47,2020-02-27,108,118,209,4
48,2020-03-30,122,152,200,4
49,2020-04-29,91,160,216,4
50,2020-05-30,44,25,422,4
51,2020-06-29,97,164,178,4
52,2020-07-30,59,176,229,4
53,2020-08-30,93,163,198,4
54,2020-09-29,48,170,245,4
55,2020-10-30,97,76,158,4
56,2020-11-29,72,143,191,4
57,2020-12-30,110,125,187,4
58,2021-01-30,76,119,244,4
59,2021-02-27,99,157,137,4
60,2021-03-30,140,138,147,4
61,2021-04-29,65,207,180,4
62,2021-05-30,96,135,204,4
