,date,negative,neutral,positive,id
0,2016-01-30,65,132,278,6
1,2016-02-27,79,145,244,6
2,2016-03-30,72,158,234,6
3,2016-04-29,109,138,226,6
4,2016-05-30,104,112,240,6
5,2016-06-29,66,224,194,6
6,2016-07-30,85,107,265,6
7,2016-08-30,79,168,197,6
8,2016-09-29,66,175,235,6
9,2016-10-30,71,152,239,6
10,2016-11-29,42,107,142,6
11,2016-12-30,80,158,180,6
12,2017-01-30,57,332,90,6
13,2017-02-27,74,119,207,6
14,2017-03-30,98,151,153,6
15,2017-04-29,98,171,195,6
16,2017-05-30,150,174,144,6
17,2017-06-29,109,164,196,6
18,2017-07-30,111,179,166,6
19,2017-08-30,91,141,210,6
20,2017-09-29,76,153,261,6
21,2017-10-30,114,147,198,6
22,2018-01-30,83,142,230,6
23,2018-02-27,112,143,216,6
24,2018-03-30,118,140,196,6
25,2018-04-29,176,117,173,6
26,2018-05-30,89,131,250,6
27,2018-06-29,76,97,267,6
28,2018-07-30,22,81,56,6
29,2018-08-30,98,140,218,6
30,2018-09-29,43,113,323,6
31,2018-10-30,50,94,274,6
32,2018-11-29,77,177,191,6
33,2018-12-30,52,91,330,6
34,2019-01-30,21,32,406,6
35,2019-02-27,88,178,208,6
36,2019-03-30,88,126,195,6
37,2019-04-29,384,59,51,6
38,2019-05-30,59,126,308,6
39,2019-06-29,136,154,191,6
40,2019-07-30,91,167,217,6
41,2019-08-30,68,104,283,6
42,2019-09-29,50,295,126,6
43,2019-10-30,140,108,230,6
44,2019-11-29,72,155,235,6
45,2019-12-30,64,104,308,6
46,2020-01-30,53,117,241,6
47,2020-02-27,142,140,165,6
48,2020-03-30,91,176,204,6
49,2020-04-29,78,181,209,6
50,2020-05-30,172,128,157,6
51,2020-06-29,68,119,279,6
52,2020-07-30,77,174,218,6
53,2020-08-30,36,70,358,6
54,2020-09-29,62,219,185,6
55,2020-10-30,116,122,204,6
56,2020-11-29,66,102,272,6
57,2020-12-30,118,144,208,6
58,2021-01-30,88,170,192,6
59,2021-02-27,87,120,267,6
60,2021-03-30,92,148,223,6
61,2021-04-29,45,93,313,6
62,2021-05-30,81,150,218,6
