,date,negative,neutral,positive,id
0,2016-01-30,40.0,468.0,153.0,7
1,2016-02-27,70.0,447.0,136.0,7
2,2016-03-30,41.0,484.0,299.0,7
3,2016-04-29,57.0,444.0,259.0,7
4,2016-05-30,78.0,477.0,223.0,7
5,2016-06-29,61.0,456.0,214.0,7
6,2016-07-30,63.0,455.0,187.0,7
7,2016-08-30,48.0,463.0,262.0,7
8,2016-09-29,40.0,443.0,259.0,7
9,2016-10-30,49.0,469.0,292.0,7
10,2016-11-29,87.0,467.0,231.0,7
11,2016-12-30,167.0,464.0,175.0,7
12,2017-01-30,124.0,446.0,203.0,7
13,2017-02-27,71.0,473.0,125.0,7
14,2017-03-30,97.0,452.0,200.0,7
15,2017-04-29,20.0,437.0,51.0,7
16,2017-05-30,,475.0,,7
17,2017-06-29,,488.0,,7
18,2017-07-30,,463.0,,7
19,2017-08-30,,463.0,,7
20,2017-09-29,,187.0,,7
21,2017-10-30,,444.0,,7
22,2018-01-30,,450.0,,7
23,2018-02-27,,477.0,,7
24,2018-03-30,,465.0,,7
25,2018-04-29,,479.0,,7
26,2018-05-30,,484.0,,7
27,2018-06-29,,469.0,,7
28,2018-07-30,,472.0,,7
29,2018-08-30,,429.0,,7
30,2018-09-29,,455.0,,7
31,2018-10-30,,467.0,,7
32,2018-11-29,,461.0,,7
33,2018-12-30,,389.0,,7
34,2019-01-30,,478.0,,7
35,2019-02-27,,468.0,,7
36,2019-03-30,,447.0,,7
37,2019-04-29,,473.0,,7
38,2019-05-30,,463.0,,7
39,2019-06-29,,453.0,,7
40,2019-07-30,,468.0,,7
41,2019-08-30,,463.0,,7
42,2019-09-29,,221.0,,7
43,2019-10-30,,455.0,,7
44,2019-11-29,,460.0,,7
45,2019-12-30,,476.0,,7
46,2020-01-30,,178.0,,7
47,2020-02-27,,461.0,,7
48,2020-03-30,,469.0,,7
49,2020-04-29,,478.0,,7
50,2020-05-30,,448.0,,7
51,2020-06-29,,474.0,,7
52,2020-07-30,,455.0,,7
53,2020-08-30,,481.0,,7
54,2020-09-29,,471.0,,7
55,2020-10-30,,480.0,,7
56,2020-11-29,,466.0,,7
57,2020-12-30,,466.0,,7
58,2021-01-30,,477.0,,7
59,2021-02-27,,454.0,,7
60,2021-03-30,,472.0,,7
61,2021-04-29,,468.0,,7
62,2021-05-30,,447.0,,7
