,date,negative,neutral,positive,id
0,2016-01-30,87,151,190,8
1,2016-02-27,117,165,177,8
2,2016-03-30,62,262,149,8
3,2016-04-29,124,119,217,8
4,2016-05-30,59,228,131,8
5,2016-06-29,134,148,172,8
6,2016-07-30,72,147,207,8
7,2016-08-30,59,146,222,8
8,2016-09-29,93,159,146,8
9,2016-10-30,94,108,181,8
10,2016-11-29,100,137,177,8
11,2016-12-30,65,126,226,8
12,2017-01-30,128,206,125,8
13,2017-02-27,245,78,117,8
14,2017-03-30,92,113,255,8
15,2017-04-29,116,148,154,8
16,2017-05-30,171,125,144,8
17,2017-06-29,86,236,137,8
18,2017-07-30,95,165,152,8
19,2017-08-30,77,136,199,8
20,2017-09-29,127,142,166,8
21,2017-10-30,83,172,149,8
22,2018-01-30,231,97,142,8
23,2018-02-27,90,171,212,8
24,2018-03-30,124,159,188,8
25,2018-04-29,172,131,145,8
26,2018-05-30,91,158,223,8
27,2018-06-29,122,124,233,8
28,2018-07-30,147,205,114,8
29,2018-08-30,133,171,151,8
30,2018-09-29,108,98,239,8
31,2018-10-30,118,134,191,8
32,2018-11-29,287,67,119,8
33,2018-12-30,68,99,323,8
34,2019-01-30,99,88,277,8
35,2019-02-27,141,193,138,8
36,2019-03-30,161,166,136,8
37,2019-04-29,152,178,135,8
38,2019-05-30,140,159,179,8
39,2019-06-29,108,190,177,8
40,2019-07-30,152,90,245,8
41,2019-08-30,94,93,159,8
42,2019-09-29,228,122,103,8
43,2019-10-30,152,105,186,8
44,2019-11-29,88,234,131,8
45,2019-12-30,65,241,117,8
46,2020-01-30,109,157,180,8
47,2020-02-27,129,185,145,8
48,2020-03-30,334,40,87,8
49,2020-04-29,99,104,253,8
50,2020-05-30,141,131,140,8
51,2020-06-29,121,141,177,8
52,2020-07-30,120,123,196,8
53,2020-08-30,125,124,198,8
54,2020-09-29,151,140,171,8
55,2020-10-30,111,188,152,8
56,2020-11-29,130,122,159,8
57,2020-12-30,132,146,150,8
58,2021-01-30,101,85,246,8
59,2021-02-27,118,137,192,8
60,2021-03-30,207,88,155,8
61,2021-04-29,108,102,169,8
62,2021-05-30,208,70,168,8
