,date,negative,neutral,positive,id
0,2016-01-30,127,176,148,9
1,2016-02-27,121,191,151,9
2,2016-03-30,85,145,218,9
3,2016-04-29,83,181,197,9
4,2016-05-30,132,150,164,9
5,2016-06-29,73,192,204,9
6,2016-07-30,117,132,209,9
7,2016-08-30,88,183,177,9
8,2016-09-29,97,178,180,9
9,2016-10-30,92,225,101,9
10,2016-11-29,108,226,135,9
11,2016-12-30,86,120,249,9
12,2017-01-30,73,150,217,9
13,2017-02-27,66,123,180,9
14,2017-03-30,141,157,156,9
15,2017-04-29,73,159,200,9
16,2017-05-30,94,181,195,9
17,2017-06-29,118,146,188,9
18,2017-07-30,62,309,100,9
19,2017-08-30,126,96,232,9
20,2017-09-29,90,133,202,9
21,2017-10-30,78,261,152,9
22,2018-01-30,76,79,289,9
23,2018-02-27,73,106,286,9
24,2018-03-30,54,306,113,9
25,2018-04-29,129,200,150,9
26,2018-05-30,142,109,203,9
27,2018-06-29,89,189,191,9
28,2018-07-30,157,104,196,9
29,2018-08-30,111,120,194,9
30,2018-09-29,110,175,176,9
31,2018-10-30,93,146,227,9
32,2018-11-29,123,189,164,9
33,2018-12-30,181,162,128,9
34,2019-01-30,106,81,267,9
35,2019-02-27,143,152,173,9
36,2019-03-30,242,79,85,9
37,2019-04-29,152,146,181,9
38,2019-05-30,140,124,183,9
39,2019-06-29,165,127,171,9
40,2019-07-30,184,101,154,9
41,2019-08-30,153,77,209,9
42,2019-09-29,160,148,169,9
43,2019-10-30,199,124,148,9
44,2019-11-29,159,97,217,9
45,2019-12-30,106,126,248,9
46,2020-01-30,62,97,322,9
47,2020-02-27,155,108,166,9
48,2020-03-30,114,135,224,9
49,2020-04-29,81,60,334,9
50,2020-05-30,300,67,101,9
51,2020-06-29,133,185,133,9
52,2020-07-30,172,86,220,9
53,2020-08-30,141,84,253,9
54,2020-09-29,98,132,175,9
55,2020-10-30,170,173,129,9
56,2020-11-29,199,200,82,9
57,2020-12-30,241,67,140,9
58,2021-01-30,168,101,207,9
59,2021-02-27,346,79,51,9
60,2021-03-30,128,134,166,9
61,2021-04-29,108,155,206,9
62,2021-05-30,108,82,248,9
