,date,negative,neutral,positive,id
0,2016-01-30,72,244,137,10
1,2016-02-27,39,348,86,10
2,2016-03-30,67,227,183,10
3,2016-04-29,65,269,135,10
4,2016-05-30,57,263,157,10
5,2016-06-29,123,201,148,10
6,2016-07-30,62,352,73,10
7,2016-08-30,77,225,176,10
8,2016-09-29,89,234,156,10
9,2016-10-30,70,253,140,10
10,2016-11-29,44,254,174,10
11,2016-12-30,111,246,121,10
12,2017-01-30,77,204,185,10
13,2017-02-27,84,303,86,10
14,2017-03-30,137,62,281,10
15,2017-04-29,54,245,138,10
16,2017-05-30,84,219,168,10
17,2017-06-29,34,324,91,10
18,2017-07-30,78,170,189,10
19,2017-08-30,31,116,338,10
20,2017-09-29,71,261,129,10
21,2017-10-30,163,161,101,10
22,2018-01-30,85,176,194,10
23,2018-02-27,16,379,58,10
24,2018-03-30,104,108,185,10
25,2018-04-29,93,152,217,10
26,2018-05-30,66,162,219,10
27,2018-06-29,40,122,304,10
28,2018-07-30,91,170,198,10
29,2018-08-30,136,154,183,10
30,2018-09-29,83,224,114,10
31,2018-10-30,69,186,183,10
32,2018-11-29,122,182,165,10
33,2018-12-30,112,183,175,10
34,2019-01-30,71,161,246,10
35,2019-02-27,87,221,150,10
36,2019-03-30,65,172,174,10
37,2019-04-29,143,165,153,10
38,2019-05-30,101,179,185,10
39,2019-06-29,52,382,57,10
40,2019-07-30,61,232,149,10
41,2019-08-30,135,133,194,10
42,2019-09-29,131,181,119,10
43,2019-10-30,100,185,181,10
44,2019-11-29,93,199,169,10
45,2019-12-30,63,159,258,10
46,2020-01-30,55,308,112,10
47,2020-02-27,75,234,147,10
48,2020-03-30,69,208,192,10
49,2020-04-29,89,169,211,10
50,2020-05-30,92,111,139,10
51,2020-06-29,126,151,187,10
52,2020-07-30,86,213,143,10
53,2020-08-30,83,195,157,10
54,2020-09-29,93,179,183,10
55,2020-10-30,67,123,267,10
56,2020-11-29,129,141,180,10
57,2020-12-30,117,157,184,10
58,2021-01-30,120,153,187,10
59,2021-02-27,77,201,112,10
60,2021-03-30,63,217,112,10
61,2021-04-29,86,185,180,10
62,2021-05-30,106,173,154,10
