,date,negative,neutral,positive,id
0,2016-01-30,170,116,139,1
1,2016-02-27,132,149,150,1
2,2016-03-30,124,112,182,1
3,2016-04-29,132,152,185,1
4,2016-05-30,154,148,144,1
5,2016-06-29,132,136,133,1
6,2016-07-30,124,110,155,1
7,2016-08-30,121,136,166,1
8,2016-09-29,122,96,189,1
9,2016-10-30,96,112,195,1
10,2016-11-29,118,153,156,1
11,2016-12-30,135,141,142,1
12,2017-01-30,112,109,168,1
13,2017-02-27,86,137,207,1
14,2017-03-30,138,170,128,1
15,2017-04-29,102,112,206,1
16,2017-05-30,131,76,170,1
17,2017-06-29,107,122,140,1
18,2017-07-30,150,96,175,1
19,2017-08-30,118,144,174,1
20,2017-09-29,125,99,188,1
21,2017-10-30,135,120,171,1
22,2018-01-30,129,85,230,1
23,2018-02-27,184,133,145,1
24,2018-03-30,122,96,190,1
25,2018-04-29,425,19,44,1
26,2018-05-30,105,120,209,1
27,2018-06-29,187,128,141,1
28,2018-07-30,124,113,185,1
29,2018-08-30,49,52,367,1
30,2018-09-29,112,142,172,1
31,2018-10-30,160,122,172,1
32,2018-11-29,135,96,185,1
33,2018-12-30,199,93,160,1
34,2019-01-30,161,65,229,1
35,2019-02-27,97,98,247,1
36,2019-03-30,111,110,137,1
37,2019-04-29,116,146,165,1
38,2019-05-30,103,74,256,1
39,2019-06-29,81,71,241,1
40,2019-07-30,71,214,160,1
41,2019-08-30,96,103,252,1
42,2019-09-29,189,100,132,1
43,2019-10-30,136,113,172,1
44,2019-11-29,107,163,149,1
45,2019-12-30,123,160,151,1
46,2020-01-30,102,167,159,1
47,2020-02-27,116,112,206,1
48,2020-03-30,116,101,210,1
49,2020-04-29,121,130,187,1
50,2020-05-30,144,108,128,1
51,2020-06-29,123,145,169,1
52,2020-07-30,126,144,134,1
53,2020-08-30,122,124,186,1
54,2020-09-29,104,161,170,1
55,2020-10-30,136,120,156,1
56,2020-11-29,117,86,153,1
57,2020-12-30,99,107,209,1
58,2021-01-30,173,61,156,1
59,2021-02-27,114,83,171,1
60,2021-03-30,98,121,188,1
61,2021-04-29,98,100,192,1
62,2021-05-30,97,96,210,1
