ID,name,2005-01-01 00:00:00,2005-02-01 00:00:00,2005-03-01 00:00:00,2005-04-01 00:00:00,2005-05-01 00:00:00,2005-06-01 00:00:00,2005-07-01 00:00:00,2005-08-01 00:00:00,2005-09-01 00:00:00,2005-10-01 00:00:00,2005-11-01 00:00:00,2005-12-01 00:00:00,2006-01-01 00:00:00,2006-02-01 00:00:00,2006-03-01 00:00:00,2006-04-01 00:00:00,2006-05-01 00:00:00,2006-06-01 00:00:00,2006-07-01 00:00:00,2006-08-01 00:00:00,2006-09-01 00:00:00,2006-10-01 00:00:00,2006-11-01 00:00:00,2006-12-01 00:00:00,2007-01-01 00:00:00,2007-02-01 00:00:00,2007-03-01 00:00:00,2007-04-01 00:00:00,2007-05-01 00:00:00,2007-06-01 00:00:00,2007-07-01 00:00:00,2007-08-01 00:00:00,2007-09-01 00:00:00,2007-10-01 00:00:00,2007-11-01 00:00:00,2007-12-01 00:00:00,2008-01-01 00:00:00,2008-02-01 00:00:00,2008-03-01 00:00:00,2008-04-01 00:00:00,2008-05-01 00:00:00,2008-06-01 00:00:00,2008-07-01 00:00:00,2008-08-01 00:00:00,2008-09-01 00:00:00,2008-10-01 00:00:00,2008-11-01 00:00:00,2008-12-01 00:00:00,2009-01-01 00:00:00,2009-02-01 00:00:00,2009-03-01 00:00:00,2009-04-01 00:00:00,2009-05-01 00:00:00,2009-06-01 00:00:00,2009-07-01 00:00:00,2009-08-01 00:00:00,2009-09-01 00:00:00,2009-10-01 00:00:00,2009-11-01 00:00:00,2009-12-01 00:00:00,2010-01-01 00:00:00,2010-02-01 00:00:00,2010-03-01 00:00:00,2010-04-01 00:00:00,2010-05-01 00:00:00,2010-06-01 00:00:00,2010-07-01 00:00:00,2010-08-01 00:00:00,2010-09-01 00:00:00,2010-10-01 00:00:00,2010-11-01 00:00:00,2010-12-01 00:00:00,2011-01-01 00:00:00,2011-02-01 00:00:00,2011-03-01 00:00:00,2011-04-01 00:00:00,2011-05-01 00:00:00,2011-06-01 00:00:00,2011-07-01 00:00:00,2011-08-01 00:00:00,2011-09-01 00:00:00,2011-10-01 00:00:00,2011-11-01 00:00:00,2011-12-01 00:00:00,2012-01-01 00:00:00,2012-02-01 00:00:00,2012-03-01 00:00:00,2012-04-01 00:00:00,2012-05-01 00:00:00,2012-06-01 00:00:00,2012-07-01 00:00:00,2012-08-01 00:00:00,2012-09-01 00:00:00,2012-10-01 00:00:00,2012-11-01 00:00:00,2012-12-01 00:00:00,2013-01-01 00:00:00,2013-02-01 00:00:00,2013-03-01 00:00:00,2013-04-01 00:00:00,2013-05-01 00:00:00,2013-06-01 00:00:00,2013-07-01 00:00:00,2013-08-01 00:00:00,2013-09-01 00:00:00,2013-10-01 00:00:00,2013-11-01 00:00:00,2013-12-01 00:00:00,2014-01-01 00:00:00,2014-02-01 00:00:00,2014-03-01 00:00:00,2014-04-01 00:00:00,2014-05-01 00:00:00,2014-06-01 00:00:00,2014-07-01 00:00:00,2014-08-01 00:00:00,2014-09-01 00:00:00,2014-10-01 00:00:00,2014-11-01 00:00:00,2014-12-01 00:00:00,2015-01-01 00:00:00,2015-02-01 00:00:00,2015-03-01 00:00:00,2015-04-01 00:00:00,2015-05-01 00:00:00,2015-06-01 00:00:00,2015-07-01 00:00:00,2015-08-01 00:00:00,2015-09-01 00:00:00,2015-10-01 00:00:00,2015-11-01 00:00:00,2015-12-01 00:00:00,2016-01-01 00:00:00,2016-02-01 00:00:00,2016-03-01 00:00:00,2016-04-01 00:00:00,2016-05-01 00:00:00,2016-06-01 00:00:00,2016-07-01 00:00:00,2016-08-01 00:00:00,2016-09-01 00:00:00,2016-10-01 00:00:00,2016-11-01 00:00:00,2016-12-01 00:00:00,2017-01-01 00:00:00,2017-02-01 00:00:00,2017-03-01 00:00:00,2017-04-01 00:00:00,2017-05-01 00:00:00,2017-06-01 00:00:00,2017-07-01 00:00:00,2017-08-01 00:00:00,2017-09-01 00:00:00,2017-10-01 00:00:00,2017-11-01 00:00:00,2017-12-01 00:00:00,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00,2021-06-01 00:00:00
1,PEPSICO INC,45,66,64,64,64,58,67,65,60,69,70,64,48,64,66,68,69,79,73,70,73,49,46,43,41,51,48,50,48,50,59,51,52,41,39,37,42,50,52,52,59,52,46,47,56,52,39,39,41,46,44,44,44,46,53,45,41,41,39,32,40,43,42,47,46,45,41,42,41,44,36,32,33,39,40,40,37,38,41,37,41,33,33,34,33,40,41,39,45,40,34,35,37,37,33,31,32,39,53,58,51,37,39,35,32,35,38,32,34,38,41,47,50,40,37,32,30,28,27,26,27,29,31,42,45,41,40,33,29,43,33,33,30,33,31,38,41,38,35,39,31,28,27,25,28,30,29,100,35,31,31,34,40,35,27,27,32,34,33,30,32,33,35,34,30,28,27,26,31,35,32,31,31,32,33,31,28,28,28,27,28,32,26,25,27,30,28,29,26,26,22,23,25,27,29,28,28,27
2,KELLOGG CO,87,70,88,60,84,54,74,69,56,67,77,58,76,100,88,85,69,70,74,62,81,57,53,57,56,53,67,53,51,59,50,53,52,58,41,44,54,46,52,50,46,38,46,37,32,45,40,38,40,47,42,39,32,34,27,29,28,27,27,22,27,27,29,30,25,31,23,24,27,23,25,20,18,27,24,22,22,21,17,19,20,19,18,15,19,25,23,25,30,21,22,19,18,19,18,20,17,20,18,15,15,17,13,15,14,17,18,14,15,16,19,18,15,15,15,17,15,16,15,11,14,15,15,15,16,14,13,12,15,13,27,23,17,16,19,16,16,13,14,11,15,16,13,14,13,16,17,16,14,13,12,13,12,14,13,11,11,12,15,14,14,14,12,11,13,11,11,10,12,10,14,14,14,11,10,12,13,13,10,12,11,11,9,11,12,11,10,12,11,10,9,9,9,9,10,11,9,11
3,PAPA JOHNS INTERNATIONAL INC,36,56,39,51,40,41,54,50,51,55,51,54,56,59,47,64,50,53,52,48,73,74,71,83,80,87,70,81,69,68,62,63,87,81,91,100,90,89,92,82,91,61,57,59,53,52,62,65,65,65,60,59,58,50,56,57,51,54,54,60,53,56,42,44,47,49,59,57,61,60,67,82,73,73,64,81,73,67,77,74,72,73,74,93,78,83,71,72,67,72,73,70,84,73,75,79,68,74,70,71,66,70,70,71,70,76,80,84,89,87,76,71,70,73,75,78,71,73,81,86,80,88,74,70,72,69,73,72,66,76,75,88,80,84,66,70,73,72,78,62,67,71,67,81,69,76,66,67,63,70,72,68,74,68,63,78,68,70,63,61,59,62,65,56,60,54,58,67,58,67,64,62,59,63,62,62,59,58,60,63,53,70,57,66,60,54,55,55,50,50,50,56,57,58,46,50,48,43
4,WENDY'S CO,23,20,30,34,31,18,19,20,21,22,22,21,23,21,23,26,24,24,26,25,22,23,21,19,24,20,19,22,24,22,24,24,25,25,19,22,24,23,23,30,23,25,24,24,21,22,19,17,20,21,20,20,20,23,20,20,18,20,17,19,20,16,17,19,19,19,27,26,25,26,25,26,27,25,26,37,38,43,46,47,47,52,48,50,38,24,25,30,32,30,29,30,27,29,24,24,28,25,25,27,29,34,33,30,28,31,30,29,30,28,31,33,32,34,35,31,29,30,29,30,30,31,29,32,33,35,36,33,32,34,31,35,33,37,38,42,46,49,55,55,52,53,47,50,58,50,53,65,64,64,70,58,56,57,51,57,55,57,68,65,66,72,72,64,64,63,66,67,67,65,71,72,84,82,79,86,76,74,74,74,70,86,98,82,95,100,84,88,83,79,72,78,74,72,76,74,78,82
5,STARBUCKS CORP,25,26,28,24,25,28,28,27,26,29,30,31,30,28,30,28,28,28,30,32,31,31,33,34,32,32,32,30,30,31,31,31,31,34,36,37,35,34,32,34,33,32,41,30,31,31,38,34,33,30,28,30,29,28,30,29,30,31,33,35,31,30,31,34,33,31,35,36,38,38,45,46,47,39,44,44,44,42,41,44,45,48,53,53,49,46,46,45,50,46,49,47,52,54,59,62,51,49,54,51,56,52,52,54,56,57,66,66,57,56,54,58,62,56,60,57,60,60,71,69,61,57,61,64,67,63,63,64,68,67,94,81,68,61,61,66,71,69,71,69,70,66,79,87,71,66,68,92,77,71,75,77,77,74,81,86,71,64,70,84,76,74,79,80,79,76,86,92,74,73,76,78,97,86,90,88,89,85,97,100,84,80,72,61,84,85,78,85,82,76,90,93,79,74,82,84,82,76
6,COMCAST CORP,80,77,71,77,70,75,78,88,84,78,76,80,82,75,71,73,68,84,83,95,88,81,77,86,88,83,78,83,78,82,91,99,92,99,87,89,91,87,83,81,86,84,91,100,90,85,78,91,89,86,80,82,75,86,84,90,84,79,72,81,76,74,72,68,70,79,84,93,91,84,83,89,88,77,78,82,76,78,83,86,82,72,68,72,74,68,66,65,67,74,78,83,79,72,73,71,78,73,73,71,71,76,79,88,85,82,86,90,87,92,87,85,82,84,92,94,90,87,85,83,83,85,79,79,79,84,87,89,89,81,79,80,72,69,63,65,64,66,68,69,68,65,59,65,63,57,57,56,53,57,59,60,62,54,55,56,54,47,49,46,45,56,49,48,46,43,43,42,44,41,41,41,39,41,42,43,40,40,39,38,39,35,42,40,36,38,37,37,34,31,29,30,31,28,28,27,27,31
7,NETFLIX INC,3,3,3,2,2,3,3,3,3,3,3,4,4,4,3,3,3,4,4,4,4,4,3,4,5,4,4,4,3,4,4,4,4,4,4,4,5,4,5,4,4,5,5,5,5,5,6,7,7,6,6,6,6,6,7,7,7,7,8,9,10,9,10,10,10,11,12,13,14,14,15,18,20,18,19,19,18,20,22,20,20,20,19,21,24,22,21,20,19,22,22,22,22,24,24,29,29,27,26,25,25,26,27,28,29,27,29,33,35,30,28,27,25,28,30,29,29,29,29,33,35,34,32,33,32,34,35,37,37,38,37,41,42,34,33,32,31,32,35,32,34,35,35,40,43,37,37,40,38,39,43,44,42,43,44,51,55,49,49,49,48,46,49,49,49,46,46,57,65,53,49,49,48,51,55,53,50,50,50,61,64,57,82,100,82,69,70,67,65,63,62,68,72,63,58,60,59,52
8,GENERAL MOTORS CO,89,77,94,100,92,100,90,87,88,74,92,66,85,73,81,67,64,56,64,54,57,56,51,47,58,54,47,53,48,47,45,45,52,49,46,38,47,49,44,41,39,44,49,43,42,58,81,64,41,48,60,66,70,74,50,42,35,34,36,31,34,34,32,33,28,27,24,28,26,26,38,24,24,25,23,24,23,21,21,22,22,22,21,18,22,25,24,21,22,21,20,21,22,20,20,16,21,19,19,19,17,18,19,18,18,19,17,18,17,19,20,22,19,18,17,17,16,18,16,14,16,17,17,17,16,15,15,15,17,18,16,14,14,16,14,15,14,14,14,13,14,14,14,12,17,15,16,15,15,14,13,13,14,15,13,11,13,14,13,13,12,13,12,12,13,13,21,13,14,13,13,12,11,11,11,11,17,17,11,10,12,13,17,11,11,11,10,11,11,10,10,10,14,13,11,11,10,13
9,"UBER TECHNOLOGIES, INC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,19,0,0,0,0,6,17,5,11,5,5,15,20,15,10,5,5,19,5,4,14,0,0,4,15,10,10,23,18,9,18,13,14,17,38,62,33,37,52,67,26,27,55,32,54,59,41,44,33,38,30,34,24,36,8,30,36,46,19,38,52,28,49,42,15,37,30,49,23,28,18,21,18,31,24,21,41,14,25,30,22,34,18,100,69,37,61,76,60,61,45,39,51,61,66,36,59,38,35,23,36,39,15,36,39,26,28,36,46
10,WALMART INC.,17,16,17,17,18,20,20,21,20,20,30,34,20,19,18,21,21,22,23,24,22,24,38,42,23,22,21,23,24,25,27,28,24,25,41,44,25,24,24,25,28,30,30,31,27,29,48,57,31,29,30,28,29,32,33,35,32,33,54,58,33,32,31,31,32,34,38,39,37,38,62,66,42,40,37,41,41,44,45,46,45,46,75,76,51,48,47,45,44,50,51,53,51,50,82,82,51,50,52,47,49,53,56,57,51,53,86,88,51,51,50,52,51,52,58,58,52,56,84,88,53,55,51,53,56,59,63,60,56,57,84,89,52,48,50,50,54,59,61,58,54,56,86,88,56,55,57,60,59,65,67,66,62,62,91,94,59,55,60,61,64,64,67,64,60,58,91,94,60,59,59,64,65,67,69,70,63,62,88,94,59,58,78,96,95,84,80,75,66,65,100,94,68,62,66,65,61,63
